Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
497,Lou Williams\willilo02,SG,33,LAC,56,8,1659,7.6,18.4,.415,2.2,6.1,.360,5.4,12.2,.442,5.8,6.6,.866,0.6,3.2,3.8,7.1,0.8,0.2,3.6,1.6,23.2
498,Marvin Williams\willima02,PF,33,TOT,47,1,910,4.2,9.3,.447,2.0,5.3,.370,2.2,4.0,.550,1.8,2.1,.865,0.8,4.5,5.3,1.9,1.3,0.9,1.0,3.2,12.1
498,Marvin Williams\willima02,PF,33,CHO,41,1,808,4.2,9.4,.448,2.0,5.2,.376,2.2,4.1,.538,1.9,2.2,.860,0.7,4.2,4.9,1.8,1.2,1.0,1.1,3.2,12.3
498,Marvin Williams\willima02,PF,33,MIL,6,0,102,3.9,8.8,.440,2.1,6.4,.333,1.8,2.5,.714,0.7,0.7,1.000,1.4,7.1,8.5,2.1,2.8,0.4,0.4,3.9,10.6
499,Robert Williams\williro04,C,22,BOS,19,1,269,4.4,6.6,.673,0.0,0.0,,4.4,6.6,.673,1.1,1.9,.571,3.1,8.6,11.6,2.8,2.3,2.8,2.1,4.6,9.9
500,Nigel Williams-Goss\willini01,PG,25,UTA,9,0,28,1.3,9.0,.143,0.0,2.6,.000,1.3,6.4,.200,2.6,2.6,1.000,2.6,3.9,6.4,6.4,1.3,1.3,2.6,2.6,5.1
501,Zion Williamson\willizi01,PF,19,NOP,14,14,400,11.3,19.4,.581,0.5,1.1,.417,10.8,18.3,.591,6.5,10.4,.626,4.1,4.5,8.6,2.9,1.0,0.5,3.2,2.1,29.4
502,D.J. Wilson\wilsodj01,PF,23,MIL,29,0,255,5.1,12.7,.400,1.7,6.8,.250,3.4,5.9,.571,0.8,1.3,.667,1.3,7.1,8.3,2.8,0.3,0.7,2.0,3.1,12.7
503,Justise Winslow\winslju01,SF,23,MIA,11,5,352,5.1,13.2,.388,0.6,2.8,.222,4.5,10.4,.431,1.8,2.8,.667,1.6,5.8,7.5,4.5,0.7,0.5,2.5,3.9,12.7
504,Christian Wood\woodch01,PF,24,DET,57,7,1140,7.4,13.3,.556,1.4,3.7,.376,6.0,9.6,.625,5.2,6.9,.753,2.9,8.0,10.8,1.6,0.9,1.6,2.2,2.8,21.4
505,Delon Wright\wrighde01,SG,27,DAL,58,4,1228,4.7,10.0,.472,1.1,2.9,.370,3.6,7.1,.515,1.9,2.5,.786,1.8,4.6,6.4,5.6,1.8,0.6,1.6,2.2,12.5
506,Justin Wright-Foreman\wrighju02,PG,22,UTA,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507,Thaddeus Young\youngth01,PF,31,CHI,58,14,1423,6.1,13.6,.448,1.8,4.9,.369,4.3,8.6,.493,0.9,1.5,.590,2.1,5.0,7.1,2.6,1.9,0.5,2.4,3.0,14.9
508,Trae Young\youngtr01,PG,21,ATL,55,55,1946,9.4,21.2,.442,3.5,9.6,.367,5.8,11.6,.504,8.1,9.5,.859,0.5,3.9,4.4,9.5,1.1,0.1,4.9,1.7,30.4
509,Cody Zeller\zelleco01,C,27,CHO,53,34,1224,6.8,13.2,.517,0.5,2.1,.236,6.3,11.1,.570,3.1,4.6,.679,4.3,6.8,11.1,2.3,1.1,0.7,1.9,3.9,17.3
510,Ante Žižić\zizican01,C,23,CLE,19,0,185,7.0,11.5,.610,0.0,0.0,,7.0,11.5,.610,2.7,3.1,.875,2.7,9.0,11.7,1.2,1.4,1.0,1.9,4.5,16.7
511,Ivica Zubac\zubaciv01,C,22,LAC,59,57,1064,6.4,10.8,.592,0.0,0.1,.000,6.4,10.7,.596,3.2,4.3,.746,5.2,9.1,14.3,2.2,0.4,1.9,1.7,4.7,16.0
