Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
29,Keita Bates-Diop\bateske01,SF,24,TOT,39,0,17.1,2.3,5.3,.428,0.8,2.4,.330,1.5,2.9,.509,.502,1.3,1.8,.710,0.5,2.3,2.9,0.8,0.4,0.5,0.4,1.0,6.6
29,Keita Bates-Diop\bateske01,SF,24,MIN,37,0,17.5,2.4,5.6,.422,0.8,2.5,.330,1.5,3.0,.500,.498,1.2,1.8,.708,0.6,2.4,3.0,0.8,0.5,0.5,0.4,1.0,6.8
29,Keita Bates-Diop\bateske01,SF,24,DEN,2,0,9.5,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,1.5,2.0,.750,0.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,3.5
30,Nicolas Batum\batumni01,SF,31,CHO,22,3,23.0,1.3,3.7,.346,0.6,2.2,.286,0.6,1.5,.438,.432,0.4,0.5,.900,1.1,3.4,4.5,3.0,0.8,0.4,1.0,1.9,3.6
31,Aron Baynes\baynear01,C,33,PHO,38,25,21.6,4.2,8.5,.488,1.2,3.6,.326,3.0,5.0,.603,.556,1.2,1.7,.723,1.6,3.9,5.5,1.7,0.2,0.5,1.1,3.4,10.7
32,Kent Bazemore\bazemke01,SF-SG,30,TOT,59,21,24.8,2.8,7.7,.366,1.3,3.7,.343,1.6,4.1,.388,.447,1.6,2.2,.756,0.4,3.8,4.2,1.3,1.1,0.6,1.3,2.8,8.5
32,Kent Bazemore\bazemke01,SF,30,POR,43,21,25.8,2.6,7.6,.347,1.3,4.0,.327,1.3,3.6,.368,.433,1.3,1.7,.806,0.3,3.7,4.0,1.4,1.0,0.7,1.4,2.8,7.9
32,Kent Bazemore\bazemke01,SG,30,SAC,16,0,22.1,3.4,8.1,.415,1.1,2.8,.400,2.3,5.3,.424,.485,2.4,3.4,.691,0.6,4.0,4.6,1.0,1.3,0.4,1.1,2.8,10.3
33,Darius Bazley\bazleda01,PF,19,OKC,53,8,17.2,1.7,4.3,.383,0.6,1.9,.300,1.1,2.5,.446,.448,0.6,0.9,.681,0.4,3.3,3.7,0.5,0.4,0.7,0.8,0.8,4.5
34,Bradley Beal\bealbr01,SG,26,WAS,51,51,35.9,10.4,22.7,.458,2.8,8.3,.335,7.6,14.4,.529,.519,6.8,8.0,.844,1.0,3.4,4.4,6.0,1.1,0.4,3.4,2.3,30.3
35,Malik Beasley\beaslma01,SG,23,TOT,49,8,20.8,3.7,9.0,.407,1.8,4.8,.376,1.8,4.1,.443,.508,1.0,1.2,.825,0.3,2.2,2.5,1.3,0.8,0.2,1.0,1.4,10.1
35,Malik Beasley\beaslma01,SG,23,DEN,41,0,18.2,2.9,7.3,.389,1.4,3.9,.360,1.4,3.4,.421,.485,0.8,0.9,.868,0.2,1.7,1.9,1.2,0.8,0.1,0.9,1.2,7.9
35,Malik Beasley\beaslma01,SG,23,MIN,8,8,33.9,7.8,17.4,.446,3.9,9.5,.408,3.9,7.9,.492,.558,1.8,2.4,.737,0.8,5.0,5.8,2.3,0.8,0.3,1.5,2.6,21.1
36,Marco Belinelli\belinma01,SG,33,SAS,49,0,15.2,2.0,5.3,.384,1.1,3.0,.363,0.9,2.3,.411,.486,0.7,0.8,.780,0.1,1.7,1.8,1.3,0.2,0.0,0.3,0.8,5.8
37,Jordan Bell\belljo01,C-PF,25,TOT,29,0,8.8,1.2,2.3,.522,0.1,0.4,.333,1.1,1.9,.564,.552,0.7,1.1,.613,1.0,1.8,2.8,0.6,0.1,0.3,0.7,0.7,3.2
37,Jordan Bell\belljo01,C,25,MIN,27,0,8.7,1.2,2.2,.533,0.1,0.3,.222,1.1,1.9,.588,.550,0.6,1.1,.586,1.0,1.9,2.9,0.5,0.1,0.4,0.7,0.6,3.1
37,Jordan Bell\belljo01,PF,25,MEM,2,0,10.5,1.5,3.5,.429,1.0,1.5,.667,0.5,2.0,.250,.571,1.0,1.0,1.000,1.0,0.5,1.5,1.0,0.5,0.0,1.5,1.0,5.0
38,DeAndre' Bembry\bembrde01,SG,25,ATL,43,4,21.3,2.4,5.3,.456,0.3,1.5,.231,2.1,3.8,.546,.489,0.6,1.1,.542,0.8,2.7,3.5,1.9,1.3,0.4,1.4,2.0,5.8
39,Dragan Bender\bendedr01,SF,22,TOT,10,1,15.8,1.4,3.9,.359,0.6,2.0,.300,0.8,1.9,.421,.436,0.2,0.5,.400,0.4,3.0,3.4,1.4,0.3,0.6,1.1,2.4,3.6
39,Dragan Bender\bendedr01,SF,22,MIL,7,0,13.0,1.4,3.0,.476,0.6,1.3,.444,0.9,1.7,.500,.571,0.3,0.4,.667,0.0,2.9,2.9,1.3,0.0,0.7,0.7,2.3,3.7
39,Dragan Bender\bendedr01,SF,22,GSW,3,1,22.3,1.3,6.0,.222,0.7,3.7,.182,0.7,2.3,.286,.278,0.0,0.7,.000,1.3,3.3,4.7,1.7,1.0,0.3,2.0,2.7,3.3
40,Dāvis Bertāns\bertada01,PF,27,WAS,48,4,29.4,4.8,11.1,.429,3.5,8.4,.415,1.3,2.6,.476,.588,1.9,2.1,.864,0.7,4.0,4.6,1.8,0.7,0.6,1.0,2.5,14.9
41,Patrick Beverley\beverpa01,PG,31,LAC,43,43,27.6,3.0,7.0,.435,1.6,4.3,.375,1.4,2.7,.530,.550,0.6,0.9,.632,1.3,4.4,5.6,3.9,1.2,0.6,1.3,3.2,8.3
42,Khem Birch\birchkh01,C,27,ORL,38,24,20.3,1.5,3.0,.496,0.0,0.0,.000,1.5,2.9,.500,.496,1.1,1.8,.612,1.8,2.9,4.7,0.9,0.4,0.6,0.6,1.9,4.0
43,Goga Bitadze\bitadgo01,C,20,IND,45,2,8.6,1.2,2.6,.475,0.1,0.7,.167,1.1,2.0,.580,.496,0.5,0.7,.710,0.5,1.6,2.1,0.5,0.1,0.7,0.5,1.2,3.1
44,Bismack Biyombo\biyombi01,C,27,CHO,50,28,19.2,2.9,5.3,.548,0.0,0.0,,2.9,5.3,.548,.548,1.7,2.9,.590,2.3,3.5,5.8,0.9,0.2,0.9,0.9,2.2,7.5
45,Nemanja Bjelica\bjeline01,PF,31,SAC,59,56,28.6,4.6,9.5,.480,2.1,4.7,.440,2.5,4.9,.517,.587,0.9,1.1,.818,1.7,4.8,6.4,2.8,0.8,0.5,1.4,3.1,12.1
46,Eric Bledsoe\bledser01,PG,30,MIL,51,51,27.3,5.7,11.9,.480,1.3,3.7,.353,4.4,8.2,.538,.535,2.9,3.5,.827,0.8,4.1,4.8,5.5,0.9,0.5,2.4,2.1,15.7
47,Bogdan Bogdanović\bogdabo01,SG,27,SAC,48,15,28.3,5.1,12.1,.424,2.5,7.1,.355,2.6,5.0,.523,.528,1.4,1.9,.720,0.4,2.9,3.2,3.1,1.0,0.2,1.7,2.1,14.2
48,Bojan Bogdanović\bogdabo02,SF,30,UTA,58,58,33.3,6.6,14.9,.445,3.0,7.3,.415,3.6,7.6,.473,.546,4.0,4.4,.903,0.6,3.5,4.1,2.1,0.6,0.1,2.5,1.7,20.3
49,Jonah Bolden\boldejo01,PF,24,TOT,7,0,6.7,0.6,1.6,.364,0.0,0.6,.000,0.6,1.0,.571,.364,0.3,0.6,.500,0.4,0.9,1.3,0.0,0.4,0.3,0.3,1.4,1.4
49,Jonah Bolden\boldejo01,PF,24,PHI,4,0,3.5,0.5,0.8,.667,0.0,0.3,.000,0.5,0.5,1.000,.667,0.0,0.5,.000,0.0,0.3,0.3,0.0,0.3,0.0,0.5,1.0,1.0
49,Jonah Bolden\boldejo01,PF,24,PHO,3,0,11.0,0.7,2.7,.250,0.0,1.0,.000,0.7,1.7,.400,.250,0.7,0.7,1.000,1.0,1.7,2.7,0.0,0.7,0.7,0.0,2.0,2.0
50,Marques Bolden\boldema01,C,21,CLE,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
51,Jordan Bone\bonejo01,PG,22,DET,10,0,5.3,0.5,2.0,.250,0.2,1.0,.200,0.3,1.0,.300,.300,0.0,0.0,,0.0,0.4,0.4,0.8,0.1,0.0,0.2,0.6,1.2
52,Isaac Bonga\bongais01,SF,20,WAS,53,38,17.7,1.7,3.2,.518,0.4,0.9,.388,1.3,2.3,.570,.574,0.9,1.1,.793,1.1,2.3,3.4,1.1,0.6,0.4,0.7,2.3,4.5
53,Devin Booker\bookede01,SG,23,PHO,57,57,36.0,8.8,18.0,.490,1.9,5.5,.355,6.9,12.5,.550,.544,6.5,7.1,.918,0.5,3.7,4.2,6.5,0.7,0.2,3.9,3.0,26.1
54,Chris Boucher\bouchch01,PF,27,TOR,51,0,13.2,2.2,4.7,.465,0.5,1.7,.281,1.7,3.0,.572,.517,1.4,1.8,.785,1.7,2.7,4.4,0.5,0.4,1.0,0.4,1.9,6.3
55,Brian Bowen\bowenbr02,SG,21,IND,4,0,3.5,0.5,1.3,.400,0.0,0.3,.000,0.5,1.0,.500,.400,0.0,0.0,,0.0,0.8,0.8,0.0,0.0,0.3,0.0,0.0,1.0
